ESR_6,ESR_3,ESR_5,ESR_1,ESR_2,ESR_4,Resource
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_0_4
0,0,0,1,1,0,NENG_Rest_offshorewind_class3_advanced_fixed_0_5
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_0_0
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_0_1
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_0_2
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_0_3
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_0_4
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_0_5
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_1_0
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_1_1
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_1_2
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_1_3
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_1_4
0,0,0,1,1,0,NENG_Rest_offshorewind_class12_advanced_floating_1_5
0,0,0,1,1,0,NENG_Rest_landbasedwind_class1_advanced_1
0,0,0,1,1,0,NENG_Rest_landbasedwind_class1_advanced_2
0,0,0,1,1,0,NENG_Rest_landbasedwind_class1_advanced_3
0,0,0,1,1,0,NENG_Rest_landbasedwind_class1_advanced_4
0,0,0,1,1,0,NENG_Rest_landbasedwind_class1_advanced_5
0,0,0,1,1,0,NENG_Rest_landbasedwind_class1_advanced_6
0,0,0,1,1,0,NENG_Rest_utilitypv_class1_advanced_1
0,0,0,1,1,0,NENG_Rest_utilitypv_class1_advanced_2
0,0,0,1,1,0,NENG_Rest_utilitypv_class1_advanced_3
0,0,0,1,1,0,NENG_Rest_utilitypv_class1_advanced_4
0,0,0,1,1,0,NENG_Rest_utilitypv_class1_advanced_5
0,0,0,1,1,0,NENG_Rest_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_A_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_A_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_A_landbasedwind_class1_advanced_1
1,0,1,0,0,0,NY_Z_A_landbasedwind_class1_advanced_2
1,0,1,0,0,0,NY_Z_A_landbasedwind_class1_advanced_3
1,0,1,0,0,0,NY_Z_A_landbasedwind_class1_advanced_4
1,0,1,0,0,0,NY_Z_A_landbasedwind_class1_advanced_5
1,0,1,0,0,0,NY_Z_A_landbasedwind_class1_advanced_6
1,0,1,0,0,0,NY_Z_A_utilitypv_class1_advanced_1
1,0,1,0,0,0,NY_Z_A_utilitypv_class1_advanced_2
1,0,1,0,0,0,NY_Z_A_utilitypv_class1_advanced_3
1,0,1,0,0,0,NY_Z_A_utilitypv_class1_advanced_4
1,0,1,0,0,0,NY_Z_A_utilitypv_class1_advanced_5
1,0,1,0,0,0,NY_Z_A_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_B_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_B_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_B_landbasedwind_class1_advanced_1
1,0,1,0,0,0,NY_Z_B_landbasedwind_class1_advanced_2
1,0,1,0,0,0,NY_Z_B_landbasedwind_class1_advanced_3
1,0,1,0,0,0,NY_Z_B_landbasedwind_class1_advanced_4
1,0,1,0,0,0,NY_Z_B_landbasedwind_class1_advanced_5
1,0,1,0,0,0,NY_Z_B_landbasedwind_class1_advanced_6
1,0,1,0,0,0,NY_Z_B_utilitypv_class1_advanced_1
1,0,1,0,0,0,NY_Z_B_utilitypv_class1_advanced_2
1,0,1,0,0,0,NY_Z_B_utilitypv_class1_advanced_3
1,0,1,0,0,0,NY_Z_B_utilitypv_class1_advanced_4
1,0,1,0,0,0,NY_Z_B_utilitypv_class1_advanced_5
1,0,1,0,0,0,NY_Z_B_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_C&E_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_C&E_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_C&E_landbasedwind_class1_advanced_1
1,0,1,0,0,0,NY_Z_C&E_landbasedwind_class1_advanced_2
1,0,1,0,0,0,NY_Z_C&E_landbasedwind_class1_advanced_3
1,0,1,0,0,0,NY_Z_C&E_landbasedwind_class1_advanced_4
1,0,1,0,0,0,NY_Z_C&E_landbasedwind_class1_advanced_5
1,0,1,0,0,0,NY_Z_C&E_landbasedwind_class1_advanced_6
1,0,1,0,0,0,NY_Z_C&E_utilitypv_class1_advanced_1
1,0,1,0,0,0,NY_Z_C&E_utilitypv_class1_advanced_2
1,0,1,0,0,0,NY_Z_C&E_utilitypv_class1_advanced_3
1,0,1,0,0,0,NY_Z_C&E_utilitypv_class1_advanced_4
1,0,1,0,0,0,NY_Z_C&E_utilitypv_class1_advanced_5
1,0,1,0,0,0,NY_Z_C&E_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_D_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_D_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_D_landbasedwind_class1_advanced_1
1,0,1,0,0,0,NY_Z_D_landbasedwind_class1_advanced_2
1,0,1,0,0,0,NY_Z_D_landbasedwind_class1_advanced_3
1,0,1,0,0,0,NY_Z_D_landbasedwind_class1_advanced_4
1,0,1,0,0,0,NY_Z_D_landbasedwind_class1_advanced_5
1,0,1,0,0,0,NY_Z_D_landbasedwind_class1_advanced_6
1,0,1,0,0,0,NY_Z_D_utilitypv_class1_advanced_1
1,0,1,0,0,0,NY_Z_D_utilitypv_class1_advanced_2
1,0,1,0,0,0,NY_Z_D_utilitypv_class1_advanced_3
1,0,1,0,0,0,NY_Z_D_utilitypv_class1_advanced_4
1,0,1,0,0,0,NY_Z_D_utilitypv_class1_advanced_5
1,0,1,0,0,0,NY_Z_D_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_F_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_F_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_F_landbasedwind_class1_advanced_1
1,0,1,0,0,0,NY_Z_F_landbasedwind_class1_advanced_2
1,0,1,0,0,0,NY_Z_F_landbasedwind_class1_advanced_3
1,0,1,0,0,0,NY_Z_F_landbasedwind_class1_advanced_4
1,0,1,0,0,0,NY_Z_F_landbasedwind_class1_advanced_5
1,0,1,0,0,0,NY_Z_F_landbasedwind_class1_advanced_6
1,0,1,0,0,0,NY_Z_F_utilitypv_class1_advanced_1
1,0,1,0,0,0,NY_Z_F_utilitypv_class1_advanced_2
1,0,1,0,0,0,NY_Z_F_utilitypv_class1_advanced_3
1,0,1,0,0,0,NY_Z_F_utilitypv_class1_advanced_4
1,0,1,0,0,0,NY_Z_F_utilitypv_class1_advanced_5
1,0,1,0,0,0,NY_Z_F_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_G-I_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_G-I_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_G-I_landbasedwind_class1_advanced_1
1,0,1,0,0,0,NY_Z_G-I_landbasedwind_class1_advanced_2
1,0,1,0,0,0,NY_Z_G-I_landbasedwind_class1_advanced_3
1,0,1,0,0,0,NY_Z_G-I_landbasedwind_class1_advanced_4
1,0,1,0,0,0,NY_Z_G-I_landbasedwind_class1_advanced_5
1,0,1,0,0,0,NY_Z_G-I_landbasedwind_class1_advanced_6
1,0,1,0,0,0,NY_Z_G-I_utilitypv_class1_advanced_1
1,0,1,0,0,0,NY_Z_G-I_utilitypv_class1_advanced_2
1,0,1,0,0,0,NY_Z_G-I_utilitypv_class1_advanced_3
1,0,1,0,0,0,NY_Z_G-I_utilitypv_class1_advanced_4
1,0,1,0,0,0,NY_Z_G-I_utilitypv_class1_advanced_5
1,0,1,0,0,0,NY_Z_G-I_utilitypv_class1_advanced_6
1,0,0,0,0,0,NY_Z_J_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_J_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_1_0
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_1_1
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_1_2
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_1_3
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_1_4
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_1_5
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_0_0
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_0_1
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_0_2
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_0_3
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_0_4
1,0,1,0,0,0,NY_Z_J_offshorewind_class3_advanced_fixed_0_5
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_0_0
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_0_1
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_0_2
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_0_3
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_0_4
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_0_5
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_1_0
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_1_1
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_1_2
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_1_3
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_1_4
1,0,1,0,0,0,NY_Z_J_offshorewind_class12_advanced_floating_1_5
1,0,0,0,0,0,NY_Z_K_nuclear_nuclear_moderate_0
1,0,0,0,0,0,NY_Z_K_naturalgas_ccs100_moderate_0
1,0,1,0,0,0,NY_Z_K_utilitypv_class1_advanced_1
0,0,0,0,0,1,PJM_EMAC_nuclear_nuclear_moderate_0
0,0,0,0,0,1,PJM_EMAC_naturalgas_ccs100_moderate_0
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_1_0
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_1_1
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_1_2
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_1_3
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_1_4
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_1_5
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_0_0
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_0_1
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_0_2
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_0_3
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_0_4
0,1,0,0,0,1,PJM_EMAC_offshorewind_class3_advanced_fixed_0_5
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_0_0
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_0_1
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_0_2
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_0_3
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_0_4
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_0_5
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_1_0
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_1_1
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_1_2
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_1_3
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_1_4
0,1,0,0,0,1,PJM_EMAC_offshorewind_class12_advanced_floating_1_5
0,1,0,0,0,1,PJM_EMAC_landbasedwind_class1_advanced_1
0,1,0,0,0,1,PJM_EMAC_landbasedwind_class1_advanced_2
0,1,0,0,0,1,PJM_EMAC_landbasedwind_class1_advanced_3
0,1,0,0,0,1,PJM_EMAC_landbasedwind_class1_advanced_4
0,1,0,0,0,1,PJM_EMAC_landbasedwind_class1_advanced_5
0,1,0,0,0,1,PJM_EMAC_landbasedwind_class1_advanced_6
0,1,0,0,0,1,PJM_EMAC_utilitypv_class1_advanced_1
0,1,0,0,0,1,PJM_EMAC_utilitypv_class1_advanced_2
0,1,0,0,0,1,PJM_EMAC_utilitypv_class1_advanced_3
0,1,0,0,0,1,PJM_EMAC_utilitypv_class1_advanced_4
0,1,0,0,0,1,PJM_EMAC_utilitypv_class1_advanced_5
0,1,0,0,0,1,PJM_EMAC_utilitypv_class1_advanced_6
0,0,0,0,0,1,PJM_Rest_naturalgas_ccccsavgcf_moderate_0
0,0,0,0,0,1,PJM_Rest_nuclear_nuclear_moderate_0
0,0,0,0,0,1,PJM_Rest_naturalgas_ccs100_moderate_0
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_1_0
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_1_1
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_1_2
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_1_3
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_1_4
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_1_5
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_0_0
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_0_1
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_0_2
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_0_3
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_0_4
0,1,0,0,0,1,PJM_Rest_offshorewind_class3_advanced_fixed_0_5
0,1,0,0,0,1,PJM_Rest_offshorewind_class12_advanced_floating_0_0
0,1,0,0,0,1,PJM_Rest_offshorewind_class12_advanced_floating_0_1
0,1,0,0,0,1,PJM_Rest_offshorewind_class12_advanced_floating_0_2
0,1,0,0,0,1,PJM_Rest_offshorewind_class12_advanced_floating_0_3
0,1,0,0,0,1,PJM_Rest_offshorewind_class12_advanced_floating_0_4
0,1,0,0,0,1,PJM_Rest_offshorewind_class12_advanced_floating_0_5
0,1,0,0,0,1,PJM_Rest_landbasedwind_class1_advanced_1
0,1,0,0,0,1,PJM_Rest_landbasedwind_class1_advanced_2
0,1,0,0,0,1,PJM_Rest_landbasedwind_class1_advanced_3
0,1,0,0,0,1,PJM_Rest_landbasedwind_class1_advanced_4
0,1,0,0,0,1,PJM_Rest_landbasedwind_class1_advanced_5
0,1,0,0,0,1,PJM_Rest_landbasedwind_class1_advanced_6
0,1,0,0,0,1,PJM_Rest_utilitypv_class1_advanced_1
0,1,0,0,0,1,PJM_Rest_utilitypv_class1_advanced_2
0,1,0,0,0,1,PJM_Rest_utilitypv_class1_advanced_3
0,1,0,0,0,1,PJM_Rest_utilitypv_class1_advanced_4
0,1,0,0,0,1,PJM_Rest_utilitypv_class1_advanced_5
0,1,0,0,0,1,PJM_Rest_utilitypv_class1_advanced_6
